,category,barcode,brand,title,components,url,description,Рекомендации: для кожи головы и типа волос,Фото банки,тип волос,тип кожи,рекомендация,тип волос,тип кожи,фиксация
,Бальзам,4670042410752,PROКУДРИ,"Маска для кудряшек, 250 мл","Aqua, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Hydrolyzed Keratin, Guar Hydroxypropyltrimonium Chloride, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Musa Acuminata (Banana) Fruit Extract, Mangifera Indica (Mango) Extract, Kiwi Juice, Apple Juice, Grapefruit Juice, Orange Juice, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Aloe Barbadensis Leaf Juice Extract, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Натуральная маска, в которой не последнюю роль играют: кокосовое масло, масло ши, масло грейпфрута, протеины, алоэ, пантенол, аскорбиновая кислота, масло жожоба. А также гидролизированный кератин, способствующий удержанию влаги в волосах, и восстановлению их структуры.
Способ применения: Нанести на чистые влажные волосы, оставить на 5-10 минут, смыть. Для усиления эффекта увлажнения и реконструкции волоса, его уплотнения, нанести маску на 30 минут и подержать волосы в тепле. Затем тщательно смыть. Так как в маске большое количество натуральных компонентов, сделайте предварительный тест на аллергию на сгибе локтя.
",,https://optim.tildacdn.com/stor3961-3863-4466-b432-626664356162/-/format/webp/49393543.jpg,,,,,,
,Бальзам,4670042413227,PROКУДРИ,"Маска для кудряшек, 380 мл","Aqua, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Hydrolyzed Keratin, Guar Hydroxypropyltrimonium Chloride, Ethylpanthenol, Niacinamide, Ascorbic Acid, Sodium Ascorbate, Sodium Salicylate, Glycolic Acid, Lactic Acid, Ananas Sativus (Pineapple) Powder, Citrus Paradisi (Grapefruit) Peel Extract, Musa Acuminata (Banana) Fruit Extract, Mangifera Indica (Mango) Extract, Kiwi Juice, Apple Juice, Grapefruit Juice, Orange Juice, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Aloe Barbadensis Leaf Juice Extract, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid. ",,"Натуральная маска, в которой не последнюю роль играют: кокосовое масло, масло ши, масло грейпфрута, протеины, алоэ, пантенол, аскорбиновая кислота, масло жожоба. А также гидролизированный кератин, способствующий удержанию влаги в волосах, и восстановлению их структуры.
Способ применения: Нанести на чистые влажные волосы, оставить на 5-10 минут, смыть. Для усиления эффекта увлажнения и реконструкции волоса, его уплотнения, нанести маску на 30 минут и подержать волосы в тепле. Затем тщательно смыть. Так как в маске большое количество натуральных компонентов, сделайте предварительный тест на аллергию на сгибе локтя.
",,https://optim.tildacdn.com/stor6633-3735-4538-b966-343165613935/-/format/webp/91252349.jpg,,,,,,
,Бальзам,4670042415085,PROКУДРИ,"Маска AQUA-EXTRA для кудрявых волос, 250 мл","Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Butyrospermum Parkii (Shea) Butter,  Cocos Nucifera (Coconut) Oil, Aloe Barbadensis Leaf Juice Extract, Panthenol, Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Keratin, Hydrolyzed Wheat Protein, Hydroxyethyl Urea, Beeswax, Hyaluronic Acid, Caprylic/Capric Triglyceride, Camellia Oleifera Seed Oil, Walnut Oil, Argania Spinosa Oil, Glycerin, Parfum, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid.",,"Маска Aqua-extra для кудрявых волос создана чтобы усиленно, максимально увлажнить волосы и напитать волосы здоровьем и красотой за счет потрясающих масел, которые совмещены с гиалуроновой кислотой.
Молекулы гиалуроновой кислоты удерживают большой объем влаги, обволакивают кутикулу, увеличивают плотность.
Бесценное масло камелии содержит жирные кислоты усиливают блеск и в разы уменьшают повреждения. Особенно хорошо влияет на волосы для восстановления после окрашивания.
Масло грецкого ореха мы добавили, чтобы уменьшить ломкость волос и оздоравливать волосы изнутри за счет содержания витаминов А,В и Е, а экстракт женьшеня содержит соединения серы, фитостерины, которые участвую в синтезе каротина из которого в основном и состоит волос. 
И в конце у нас принимает участие в усиленном увлажнении экстракт ламинарии - ниацин, йод и Холин в связке дают потрясающий эффект.

Ваши кудрявые волосы уже через месяц применения маски 1 раз в неделю приобретут блеск, еще больше подкрутятся, уменьшится ломкость, будут выглядеть здоровыми и красивыми.",,https://optim.tildacdn.com/stor3865-3038-4730-a332-373164393338/-/format/webp/45246159.jpg,,,,,,
,Бальзам,4670042415092,PROКУДРИ,"Маска AQUA-EXTRA для кудрявых волос, 380 мл","Aqua, Cetearyl Alcohol, Behentrimonium Chloride, Butyrospermum Parkii (Shea) Butter,  Cocos Nucifera (Coconut) Oil, Aloe Barbadensis Leaf Juice Extract, Panthenol, Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Keratin, Hydrolyzed Wheat Protein, Hydroxyethyl Urea, Beeswax, Hyaluronic Acid, Caprylic/Capric Triglyceride, Camellia Oleifera Seed Oil, Walnut Oil, Argania Spinosa Oil, Glycerin, Parfum, Panax Ginseng Root Extract, Laminaria Saccharina Extract, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid.",,"Маска Aqua-extra для кудрявых волос создана чтобы усиленно, максимально увлажнить волосы и напитать волосы здоровьем и красотой за счет потрясающих масел, которые совмещены с гиалуроновой кислотой.
Молекулы гиалуроновой кислоты удерживают большой объем влаги, обволакивают кутикулу, увеличивают плотность.
Бесценное масло камелии содержит жирные кислоты усиливают блеск и в разы уменьшают повреждения. Особенно хорошо влияет на волосы для восстановления после окрашивания.
Масло грецкого ореха мы добавили, чтобы уменьшить ломкость волос и оздоравливать волосы изнутри за счет содержания витаминов А,В и Е, а экстракт женьшеня содержит соединения серы, фитостерины, которые участвую в синтезе каротина из которого в основном и состоит волос. 
И в конце у нас принимает участие в усиленном увлажнении экстракт ламинарии - ниацин, йод и Холин в связке дают потрясающий эффект.

Ваши кудрявые волосы уже через месяц применения маски 1 раз в неделю приобретут блеск, еще больше подкрутятся, уменьшится ломкость, будут выглядеть здоровыми и красивыми.",,https://optim.tildacdn.com/stor3365-6162-4237-a330-366436623939/-/format/webp/62747218.jpg,,,,,,
,Бальзам,4670042412084,PROКУДРИ,"Молочко для кудряшек, 250 мл","Aqua, Behentrimonium Methosulfate, Ceteary| Alcohol, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Polyquaternium-7, Cocos Nucifera (Coconut) Oil, Brassica Oleracea Italica Seed Oil, Burdock (Arctium Lappa) Root Infused Oil, Cannabis Sativa Seed Oil, Macadamia Terifolia Seed Oil, Amla Oil, Sesamum Indicum Seed Oil, Argan Spinosa Kemel Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropy/trimonin Chloride, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid",,"Молочко нежное и не утяжеляющее, насыщено наилучшими маслами для увлажнения и питания локонов.
Масло брокколи содержит линолевую и а-линолевую кислоты, а ещё олеиновую, стеариновую и каротиноиды. За счёт них устраняется ломкость и сухость, значительно улучшается состояние волос, добавляется эластичность.
Масло конопли, макадамии, амлы и кунжута добавляют волосам блеска и уплотняют за счёт растительного белка, а так же снимают статику. Волосы меньше пушатся, легче подвиваются и удерживают кудряшку.
Молочко наносится в качестве leave in и не смывается.
Увлажняет, питает, подкручивает, защищает от неблагоприятного воздействия внешней среды.",,https://optim.tildacdn.com/stor3239-6533-4138-b462-353535326337/-/format/webp/44653405.jpg,,,,,,
,Бальзам,4670042413241,PROКУДРИ,"Молочко для кудряшек, 460 мл","Aqua, Behentrimonium Methosulfate, Ceteary| Alcohol, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Polyquaternium-7, Cocos Nucifera (Coconut) Oil, Brassica Oleracea Italica Seed Oil, Burdock (Arctium Lappa) Root Infused Oil, Cannabis Sativa Seed Oil, Macadamia Terifolia Seed Oil, Amla Oil, Sesamum Indicum Seed Oil, Argan Spinosa Kemel Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropy/trimonin Chloride, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid",,"Молочко нежное и не утяжеляющее, насыщено наилучшими маслами для увлажнения и питания локонов.
Масло брокколи содержит линолевую и а-линолевую кислоты, а ещё олеиновую, стеариновую и каротиноиды. За счёт них устраняется ломкость и сухость, значительно улучшается состояние волос, добавляется эластичность.
Масло конопли, макадамии, амлы и кунжута добавляют волосам блеска и уплотняют за счёт растительного белка, а так же снимают статику. Волосы меньше пушатся, легче подвиваются и удерживают кудряшку.
Молочко наносится в качестве leave in и не смывается.
Увлажняет, питает, подкручивает, защищает от неблагоприятного воздействия внешней среды.",,https://optim.tildacdn.com/stor3764-6532-4031-a361-366232363661/-/format/webp/10920092.jpg,,,,,,
,Бальзам,4670042414514,PROКУДРИ,"Молочко для кудряшек, 1000 мл","Aqua, Behentrimonium Methosulfate, Ceteary| Alcohol, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Polyquaternium-7, Cocos Nucifera (Coconut) Oil, Brassica Oleracea Italica Seed Oil, Burdock (Arctium Lappa) Root Infused Oil, Cannabis Sativa Seed Oil, Macadamia Terifolia Seed Oil, Amla Oil, Sesamum Indicum Seed Oil, Argan Spinosa Kemel Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropy/trimonin Chloride, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid",,"Молочко нежное и не утяжеляющее, насыщено наилучшими маслами для увлажнения и питания локонов.
Масло брокколи содержит линолевую и а-линолевую кислоты, а ещё олеиновую, стеариновую и каротиноиды. За счёт них устраняется ломкость и сухость, значительно улучшается состояние волос, добавляется эластичность.
Масло конопли, макадамии, амлы и кунжута добавляют волосам блеска и уплотняют за счёт растительного белка, а так же снимают статику. Волосы меньше пушатся, легче подвиваются и удерживают кудряшку.
Молочко наносится в качестве leave in и не смывается.
Увлажняет, питает, подкручивает, защищает от неблагоприятного воздействия внешней среды.",,,,,,,,
,Бальзам,4670042414156,PROКУДРИ,"Крем SPF для кудрявых волос, 100мл","Aqua, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Behentrimonium Methosulfate, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Tocopheryl Acetate, Crataegus Oxyacantha Extract, Pinus Sylvestris (Scot's Pine) Bark Extract, Helianthus Annuus (Sunflower) Petal Extract, Cocos Nucifera (Coconut) Oil, Vitis Vinifera (Grape) Seed Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Guar Hydroxypropyltrimonium Chloride, Panthenol, Benzyl Alcohol, Benzoic Acid, Sorbic Acid, Citric Acid
",,"Содержит UV фильтры. Имеет легкую текстуру, не утяжеляя, защищает от ультрафиолетовых лучей. За счет масла подсолнечника предотвращает повреждение и сухость длины волос. Большое количество токоферол ацетата оказывает антиоксидантное воздействие и увлажняет локоны.
Способ применения: нанести на мокрые или сухие волосы перед выходом на солнце. Если вы искупались в море или бассейне, промойте волосы проточной водой и нанесите SPF крем еще раз.",,https://optim.tildacdn.com/stor3136-6266-4431-b564-346263363132/-/format/webp/32476086.jpg,,,,,,
,Бальзам,4670042415252,PROКУДРИ,"Крем 5 в 1 для кудрявых волос, увлажнение и фиксация","Aqua, PVP, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ceteareth-20, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Butyrospermum Parkii Butter, Phenoxyethanol, Tocopheryl Acetate, Cocos Nucifera Oil, Glycerin, Parfum, Hydrolyzed Wheat Protein, Panthenol, Sodium Polyacrylate.",,"Крем 5 в 1 для кудрявых волос: фиксация и несмываемый уход
Новинка, которая заменяет вам сразу несколько средств и объединяет в себе свойства каждого: увлажняет локон, питает, восстанавливает структуру, защищает от солнца и фиксирует кудряшку.",,https://optim.tildacdn.com/stor6633-6131-4938-a365-353235643332/-/format/webp/70687455.jpg,,,,,,
,Стайлинг,4670042414170,PROКУДРИ,"Гель Шелк для кудрявых волос, 100 мл","Aqua, PVP, Phenoxyethanol, Silk Protein, Argania Spinosa Oil, Persea Gratissima Oil, PEG-40 Hydrogenated Castor Oil, Carbomer, Parfum, Citrus Paradisi (Grapefruit) Peel Extract, Tocopherol, Sodium Hydroxide, Citric Acid",,"Гель для кудрявых волос «Шелк» создан по всем правилам кудрявого метода, без сульфатов, силиконов, парабенов и минеральных масел.
Гель ПроКудри превращает ваши кудрявые волосы в оформленные завитки без пуха.

Гель легкий и не утяжеляет вьющиеся волосы, не растягивает завиток.
Так же гель для укладки кудрявых волос «Шелк» создает тонкий, почти невесомый каст и не склеивает волосы. После сушки диффузором кудри легко разбить, сделать более пышными.

Мы разработали формулу фиксирующего средства с дополнительными источниками защиты и питания волос за счет масла Арганы и масла Ши.",,https://optim.tildacdn.com/stor3561-6230-4633-b164-643961643962/-/format/webp/97646340.jpg,,,,,,
,Стайлинг,4670042413715,PROКУДРИ,"Гель Шелк для кудрявых волос, 150 мл","Aqua, PVP, Phenoxyethanol, Silk Protein, Argania Spinosa Oil, Persea Gratissima Oil, PEG-40 Hydrogenated Castor Oil, Carbomer, Parfum, Citrus Paradisi (Grapefruit) Peel Extract, Tocopherol, Sodium Hydroxide, Citric Acid",,"Гель для кудрявых волос «Шелк» создан по всем правилам кудрявого метода, без сульфатов, силиконов, парабенов и минеральных масел.
Гель ПроКудри превращает ваши кудрявые волосы в оформленные завитки без пуха.

Гель легкий и не утяжеляет вьющиеся волосы, не растягивает завиток.
Так же гель для укладки кудрявых волос «Шелк» создает тонкий, почти невесомый каст и не склеивает волосы. После сушки диффузором кудри легко разбить, сделать более пышными.

Мы разработали формулу фиксирующего средства с дополнительными источниками защиты и питания волос за счет масла Арганы и масла Ши.",,https://optim.tildacdn.com/stor3839-3862-4738-b135-316166646535/-/format/webp/64424469.jpg,,,,,,
,Стайлинг,4670042413753,PROКУДРИ,"Гель Шелк для кудрявых волос, 250 мл","Aqua, PVP, Phenoxyethanol, Silk Protein, Argania Spinosa Oil, Persea Gratissima Oil, PEG-40 Hydrogenated Castor Oil, Carbomer, Parfum, Citrus Paradisi (Grapefruit) Peel Extract, Tocopherol, Sodium Hydroxide, Citric Acid",,"Гель для кудрявых волос «Шелк» создан по всем правилам кудрявого метода, без сульфатов, силиконов, парабенов и минеральных масел.
Гель ПроКудри превращает ваши кудрявые волосы в оформленные завитки без пуха.

Гель легкий и не утяжеляет вьющиеся волосы, не растягивает завиток.
Так же гель для укладки кудрявых волос «Шелк» создает тонкий, почти невесомый каст и не склеивает волосы. После сушки диффузором кудри легко разбить, сделать более пышными.

Мы разработали формулу фиксирующего средства с дополнительными источниками защиты и питания волос за счет масла Арганы и масла Ши.",,https://optim.tildacdn.com/stor3630-3633-4636-b232-383536303062/-/format/webp/48672011.jpg,,,,,,
